date,1. open,2. high,3. low,4. close,5. volume
2021-10-08 11:44:00,143.1399,143.17,143.07,143.08,94964.0
2021-10-08 11:43:00,143.1,143.14,143.08,143.13,109003.0
2021-10-08 11:42:00,143.13,143.13,143.06,143.105,101893.0
2021-10-08 11:41:00,143.16,143.17,143.06,143.125,179547.0
2021-10-08 11:40:00,143.17,143.18,143.12,143.16,93566.0
2021-10-08 11:39:00,143.17,143.18,143.13,143.17,97200.0
2021-10-08 11:38:00,143.15,143.18,143.14,143.17,69892.0
2021-10-08 11:37:00,143.13,143.19,143.1,143.145,254758.0
2021-10-08 11:36:00,143.17,143.2,143.1201,143.1201,120738.0
2021-10-08 11:35:00,143.25,143.2579,143.17,143.1969,152389.0
2021-10-08 11:34:00,143.35,143.36,143.191,143.245,154770.0
2021-10-08 11:33:00,143.29,143.35,143.29,143.3377,94487.0
2021-10-08 11:32:00,143.2709,143.31,143.25,143.29,50738.0
2021-10-08 11:31:00,143.29,143.34,143.25,143.28,110680.0
2021-10-08 11:30:00,143.2976,143.32,143.26,143.29,69672.0
2021-10-08 11:29:00,143.3,143.33,143.28,143.31,66184.0
2021-10-08 11:28:00,143.325,143.34,143.29,143.29,71780.0
2021-10-08 11:27:00,143.25,143.347,143.23,143.325,221804.0
2021-10-08 11:26:00,143.26,143.28,143.2,143.25,251413.0
2021-10-08 11:25:00,143.3238,143.3238,143.21,143.27,120698.0
2021-10-08 11:24:00,143.3301,143.37,143.315,143.33,79074.0
2021-10-08 11:23:00,143.405,143.415,143.32,143.3371,69955.0
2021-10-08 11:22:00,143.35,143.43,143.34,143.39,79013.0
2021-10-08 11:21:00,143.4396,143.4599,143.34,143.35,173455.0
2021-10-08 11:20:00,143.47,143.49,143.43,143.43,80930.0
2021-10-08 11:19:00,143.4,143.48,143.37,143.475,115995.0
2021-10-08 11:18:00,143.42,143.435,143.37,143.395,36761.0
2021-10-08 11:17:00,143.405,143.445,143.38,143.425,60381.0
2021-10-08 11:16:00,143.41,143.43,143.37,143.41,69608.0
2021-10-08 11:15:00,143.44,143.47,143.4,143.415,136238.0
2021-10-08 11:14:00,143.41,143.46,143.41,143.45,78332.0
2021-10-08 11:13:00,143.36,143.42,143.3575,143.41,103740.0
2021-10-08 11:12:00,143.32,143.36,143.31,143.355,47101.0
2021-10-08 11:11:00,143.37,143.38,143.3201,143.325,53737.0
2021-10-08 11:10:00,143.34,143.39,143.32,143.3766,105713.0
2021-10-08 11:09:00,143.295,143.35,143.2714,143.3332,62594.0
2021-10-08 11:08:00,143.28,143.33,143.22,143.29,123941.0
2021-10-08 11:07:00,143.25,143.31,143.215,143.275,79525.0
2021-10-08 11:06:00,143.25,143.27,143.1701,143.245,111334.0
2021-10-08 11:05:00,143.35,143.35,143.25,143.255,102579.0
2021-10-08 11:04:00,143.34,143.3726,143.3,143.33,122759.0
2021-10-08 11:03:00,143.28,143.33,143.255,143.325,83725.0
2021-10-08 11:02:00,143.315,143.33,143.27,143.2788,82343.0
2021-10-08 11:01:00,143.29,143.36,143.27,143.3099,94055.0
2021-10-08 11:00:00,143.31,143.35,143.275,143.285,88006.0
2021-10-08 10:59:00,143.35,143.4099,143.305,143.305,118282.0
2021-10-08 10:58:00,143.34,143.4199,143.335,143.3544,78536.0
2021-10-08 10:57:00,143.39,143.45,143.34,143.3417,112982.0
2021-10-08 10:56:00,143.42,143.455,143.32,143.405,128909.0
2021-10-08 10:55:00,143.4164,143.4694,143.38,143.43,136727.0
2021-10-08 10:54:00,143.43,143.46,143.41,143.42,101630.0
2021-10-08 10:53:00,143.35,143.5,143.35,143.42,182509.0
2021-10-08 10:52:00,143.36,143.39,143.32,143.36,101421.0
2021-10-08 10:51:00,143.285,143.38,143.2101,143.3657,221796.0
2021-10-08 10:50:00,143.3,143.38,143.23,143.275,146932.0
2021-10-08 10:49:00,143.23,143.35,143.2119,143.3,136319.0
2021-10-08 10:48:00,143.21,143.29,143.21,143.24,78350.0
2021-10-08 10:47:00,143.22,143.24,143.16,143.205,120453.0
2021-10-08 10:46:00,143.2301,143.325,143.18,143.21,206718.0
2021-10-08 10:45:00,143.18,143.2799,143.18,143.235,170798.0
2021-10-08 10:44:00,143.1,143.19,143.08,143.16,175939.0
2021-10-08 10:43:00,143.19,143.21,143.07,143.1,208942.0
2021-10-08 10:42:00,143.27,143.3,143.14,143.1801,264810.0
2021-10-08 10:41:00,143.49,143.54,143.26,143.27,262064.0
2021-10-08 10:40:00,143.58,143.66,143.46,143.485,162196.0
2021-10-08 10:39:00,143.548,143.66,143.5,143.57,149874.0
2021-10-08 10:38:00,143.5,143.57,143.48,143.545,108685.0
2021-10-08 10:37:00,143.54,143.5589,143.485,143.49,98675.0
2021-10-08 10:36:00,143.49,143.5799,143.48,143.53,120629.0
2021-10-08 10:35:00,143.61,143.625,143.47,143.4881,256910.0
2021-10-08 10:34:00,143.745,143.745,143.61,143.6106,131358.0
2021-10-08 10:33:00,143.77,143.82,143.7201,143.74,77639.0
2021-10-08 10:32:00,143.815,143.86,143.76,143.78,134812.0
2021-10-08 10:31:00,143.74,143.8377,143.66,143.82,154074.0
2021-10-08 10:30:00,143.75,143.8,143.7,143.7363,86563.0
2021-10-08 10:29:00,143.735,143.8,143.69,143.74,62544.0
2021-10-08 10:28:00,143.73,143.7559,143.69,143.735,86977.0
2021-10-08 10:27:00,143.6709,143.7777,143.66,143.735,127762.0
2021-10-08 10:26:00,143.76,143.79,143.67,143.68,147129.0
2021-10-08 10:25:00,143.82,143.835,143.73,143.775,143425.0
2021-10-08 10:24:00,143.91,143.93,143.8,143.811,134486.0
2021-10-08 10:23:00,143.9393,143.96,143.8754,143.9099,118619.0
2021-10-08 10:22:00,143.87,143.94,143.79,143.9385,181498.0
2021-10-08 10:21:00,143.82,143.895,143.73,143.8701,150857.0
2021-10-08 10:20:00,143.7699,143.85,143.74,143.8299,170057.0
2021-10-08 10:19:00,143.85,143.88,143.73,143.76,172541.0
2021-10-08 10:18:00,143.64,143.91,143.63,143.845,275290.0
2021-10-08 10:17:00,143.665,143.7,143.62,143.645,123276.0
2021-10-08 10:16:00,143.54,143.74,143.53,143.665,169843.0
2021-10-08 10:15:00,143.609,143.6711,143.511,143.5399,172316.0
2021-10-08 10:14:00,143.42,143.6092,143.415,143.6092,202986.0
2021-10-08 10:13:00,143.45,143.54,143.3628,143.42,211124.0
2021-10-08 10:12:00,143.45,143.52,143.3824,143.43,219780.0
2021-10-08 10:11:00,143.5,143.56,143.43,143.46,167731.0
2021-10-08 10:10:00,143.6399,143.67,143.495,143.495,167722.0
2021-10-08 10:09:00,143.53,143.64,143.485,143.635,170467.0
2021-10-08 10:08:00,143.39,143.55,143.39,143.53,176553.0
2021-10-08 10:07:00,143.49,143.49,143.32,143.4,197291.0
2021-10-08 10:06:00,143.53,143.569,143.37,143.4999,183465.0
2021-10-08 10:05:00,143.4,143.53,143.335,143.53,149706.0
2021-10-08 10:04:00,143.49,143.515,143.385,143.395,125423.0
2021-10-08 10:03:00,143.3903,143.5456,143.33,143.475,188762.0
2021-10-08 10:02:00,143.485,143.5699,143.39,143.39,274565.0
2021-10-08 10:01:00,143.18,143.5,143.165,143.4887,242546.0
2021-10-08 10:00:00,143.46,143.46,143.17,143.1823,236881.0
2021-10-08 09:59:00,143.52,143.58,143.35,143.46,240823.0
2021-10-08 09:58:00,143.57,143.58,143.47,143.535,190962.0
2021-10-08 09:57:00,143.4,143.58,143.36,143.5601,166935.0
2021-10-08 09:56:00,143.27,143.45,143.23,143.39,188129.0
2021-10-08 09:55:00,143.26,143.3788,143.16,143.263,205309.0
2021-10-08 09:54:00,143.235,143.3081,143.21,143.2606,142802.0
2021-10-08 09:53:00,143.3,143.3273,143.18,143.23,194555.0
2021-10-08 09:52:00,143.13,143.31,143.13,143.3,140641.0
2021-10-08 09:51:00,143.43,143.45,143.1,143.1212,304655.0
2021-10-08 09:50:00,143.2,143.43,143.18,143.42,193941.0
2021-10-08 09:49:00,143.285,143.285,143.14,143.19,210317.0
2021-10-08 09:48:00,143.12,143.3,143.1,143.2925,205744.0
2021-10-08 09:47:00,143.35,143.37,143.0601,143.13,333220.0
2021-10-08 09:46:00,143.38,143.56,143.25,143.3398,253626.0
2021-10-08 09:45:00,143.6,143.6,143.36,143.3757,236132.0
2021-10-08 09:44:00,143.69,143.74,143.61,143.61,177899.0
2021-10-08 09:43:00,143.69,143.745,143.64,143.695,232789.0
2021-10-08 09:42:00,143.455,143.7,143.37,143.692,378758.0
2021-10-08 09:41:00,143.3,143.49,143.2399,143.45,284767.0
2021-10-08 09:40:00,143.18,143.385,143.1613,143.3,302371.0
2021-10-08 09:39:00,143.22,143.265,143.12,143.1799,209229.0
2021-10-08 09:38:00,143.18,143.26,143.11,143.23,241055.0
2021-10-08 09:37:00,143.24,143.324,143.15,143.17,265473.0
